ID,Translation-Batak
K4141,http://btkword-rdf.com/B10148
K4149,http://btkword-rdf.com/B2109
K4149,http://btkword-rdf.com/B3354
K4149,http://btkword-rdf.com/B6427
K4155,http://btkword-rdf.com/B4615
K4155,http://btkword-rdf.com/B8404
K4155,http://btkword-rdf.com/B10741
K4156,http://btkword-rdf.com/B873
K4156,http://btkword-rdf.com/B4579
K4166,http://btkword-rdf.com/B880
K4173,http://btkword-rdf.com/B9954
K4174,http://btkword-rdf.com/B6318
K4178,http://btkword-rdf.com/B2109
K4178,http://btkword-rdf.com/B3354
K4178,http://btkword-rdf.com/B6427
K4180,http://btkword-rdf.com/B2629
K4186,http://btkword-rdf.com/B2527
K4186,http://btkword-rdf.com/B7572
K4196,http://btkword-rdf.com/B4501
K4223,http://btkword-rdf.com/B10526
K4226,http://btkword-rdf.com/B2746
K4226,http://btkword-rdf.com/B4930
K4226,http://btkword-rdf.com/B7245
K4228,http://btkword-rdf.com/B889
K4246,http://btkword-rdf.com/B763
K4248,http://btkword-rdf.com/B2333
K4248,http://btkword-rdf.com/B11171
K4249,http://btkword-rdf.com/B10734
K4266,http://btkword-rdf.com/B716
K4266,http://btkword-rdf.com/B1479
K4266,http://btkword-rdf.com/B1512
K4266,http://btkword-rdf.com/B1803
K4266,http://btkword-rdf.com/B2623
K4266,http://btkword-rdf.com/B4800
K4266,http://btkword-rdf.com/B7980
K4266,http://btkword-rdf.com/B9229
K4266,http://btkword-rdf.com/B10591
K4266,http://btkword-rdf.com/B10874
K4283,http://btkword-rdf.com/B195
K4283,http://btkword-rdf.com/B202
K4283,http://btkword-rdf.com/B1707
K4304,http://btkword-rdf.com/B2436
K4316,http://btkword-rdf.com/B909
K4332,http://btkword-rdf.com/B1344
K4356,http://btkword-rdf.com/B3589
K4374,http://btkword-rdf.com/B644
K4374,http://btkword-rdf.com/B1081
K4374,http://btkword-rdf.com/B7813
K4374,http://btkword-rdf.com/B10809
K4377,http://btkword-rdf.com/B7242
K4378,http://btkword-rdf.com/B6302
K4379,http://btkword-rdf.com/B5443
K4407,http://btkword-rdf.com/B7311
K4410,http://btkword-rdf.com/B927
K4410,http://btkword-rdf.com/B6528
K4410,http://btkword-rdf.com/B8157
K4410,http://btkword-rdf.com/B10901
K4415,http://btkword-rdf.com/B3653
K4450,http://btkword-rdf.com/B941
K4450,http://btkword-rdf.com/B3953
K4453,http://btkword-rdf.com/B6346
K4460,http://btkword-rdf.com/B4067
K4460,http://btkword-rdf.com/B6269
K4470,http://btkword-rdf.com/B1399
K4470,http://btkword-rdf.com/B1740
K4470,http://btkword-rdf.com/B4741
K4470,http://btkword-rdf.com/B5059
K4470,http://btkword-rdf.com/B10062
K4470,http://btkword-rdf.com/B10546
K4481,http://btkword-rdf.com/B918
K4481,http://btkword-rdf.com/B5953
K4494,http://btkword-rdf.com/B8585
K4495,http://btkword-rdf.com/B7245
K4495,http://btkword-rdf.com/B7802
K4495,http://btkword-rdf.com/B7989
K4495,http://btkword-rdf.com/B7991
K4499,http://btkword-rdf.com/B11176
K4514,http://btkword-rdf.com/B975
K4516,http://btkword-rdf.com/B9612
K4519,http://btkword-rdf.com/B1303
K4519,http://btkword-rdf.com/B4564
K4538,http://btkword-rdf.com/B800
K4538,http://btkword-rdf.com/B3548
K4538,http://btkword-rdf.com/B6558
K4538,http://btkword-rdf.com/B7275
K4538,http://btkword-rdf.com/B10658
K4545,http://btkword-rdf.com/B10658
K4573,http://btkword-rdf.com/B9925
K4574,http://btkword-rdf.com/B6845
K4574,http://btkword-rdf.com/B10019
K4577,http://btkword-rdf.com/B990
K4627,http://btkword-rdf.com/B3215
K4672,http://btkword-rdf.com/B4899
K4698,http://btkword-rdf.com/B991
K4698,http://btkword-rdf.com/B6073
K4698,http://btkword-rdf.com/B6671
K4698,http://btkword-rdf.com/B6677
K4709,http://btkword-rdf.com/B390
K4709,http://btkword-rdf.com/B6118
K4709,http://btkword-rdf.com/B9408
K4709,http://btkword-rdf.com/B10873
K4722,http://btkword-rdf.com/B4738
K4722,http://btkword-rdf.com/B8741
K4733,http://btkword-rdf.com/B1222
K4733,http://btkword-rdf.com/B4798
K4733,http://btkword-rdf.com/B6510
K4733,http://btkword-rdf.com/B11189
K4736,http://btkword-rdf.com/B10599
K4748,http://btkword-rdf.com/B898
K4748,http://btkword-rdf.com/B898
K4761,http://btkword-rdf.com/B8944
K4768,http://btkword-rdf.com/B155
K4768,http://btkword-rdf.com/B156
K4774,http://btkword-rdf.com/B2448
K4796,http://btkword-rdf.com/B1051
K4799,http://btkword-rdf.com/B4487
K4799,http://btkword-rdf.com/B6759
K4800,http://btkword-rdf.com/B1226
K4800,http://btkword-rdf.com/B3085
K4806,http://btkword-rdf.com/B4163
K4806,http://btkword-rdf.com/B5381
K4818,http://btkword-rdf.com/B1099
K4843,http://btkword-rdf.com/B1209
K4843,http://btkword-rdf.com/B5377
K4844,http://btkword-rdf.com/B356
K4844,http://btkword-rdf.com/B613
K4844,http://btkword-rdf.com/B3951
K4844,http://btkword-rdf.com/B7407
K4844,http://btkword-rdf.com/B7697
K4846,http://btkword-rdf.com/B4828
K4846,http://btkword-rdf.com/B8496
K4851,http://btkword-rdf.com/B681
K4872,http://btkword-rdf.com/B1242
K4890,http://btkword-rdf.com/B5612
K4902,http://btkword-rdf.com/B1451
K4904,http://btkword-rdf.com/B519
K4904,http://btkword-rdf.com/B1218
K4904,http://btkword-rdf.com/B1451
K4919,http://btkword-rdf.com/B4477
K4919,http://btkword-rdf.com/B4534
K4919,http://btkword-rdf.com/B10526
K4925,http://btkword-rdf.com/B760
K4925,http://btkword-rdf.com/B1250
K4925,http://btkword-rdf.com/B1387
K4930,http://btkword-rdf.com/B1611
K4930,http://btkword-rdf.com/B7225
K4930,http://btkword-rdf.com/B10261
K4960,http://btkword-rdf.com/B4373
K4969,http://btkword-rdf.com/B281
K4969,http://btkword-rdf.com/B10863
K4979,http://btkword-rdf.com/B986
K4979,http://btkword-rdf.com/B1267
K4979,http://btkword-rdf.com/B4828
K4979,http://btkword-rdf.com/B5090
K4979,http://btkword-rdf.com/B8089
K4979,http://btkword-rdf.com/B9055
K4979,http://btkword-rdf.com/B9765
K4979,http://btkword-rdf.com/B9827
K4990,http://btkword-rdf.com/B434
K4990,http://btkword-rdf.com/B9297
K4992,http://btkword-rdf.com/B526
K4997,http://btkword-rdf.com/B7673
K5000,http://btkword-rdf.com/B7176
K5000,http://btkword-rdf.com/B7176
K5004,http://btkword-rdf.com/B1511
K5021,http://btkword-rdf.com/B1272
K5023,http://btkword-rdf.com/B758
K5056,http://btkword-rdf.com/B762
K5059,http://btkword-rdf.com/B796
K5070,http://btkword-rdf.com/B1124
K5070,http://btkword-rdf.com/B5994
K5090,http://btkword-rdf.com/B3480
K5095,http://btkword-rdf.com/B1282
K5095,http://btkword-rdf.com/B10659
K5096,http://btkword-rdf.com/B737
K5096,http://btkword-rdf.com/B7651
K5099,http://btkword-rdf.com/B6312
K5117,http://btkword-rdf.com/B967
