ID,Translation-English
K234,http://wordnet-rdf.princeton.edu/wn31/107833847-n
K235,http://wordnet-rdf.princeton.edu/wn31/107842629-n
K236,http://wordnet-rdf.princeton.edu/wn31/100414252-n
K236,http://wordnet-rdf.princeton.edu/wn31/100414808-n
K236,http://wordnet-rdf.princeton.edu/wn31/101098778-n
K236,http://wordnet-rdf.princeton.edu/wn31/104807401-n
K236,http://wordnet-rdf.princeton.edu/wn31/105675248-n
K236,http://wordnet-rdf.princeton.edu/wn31/113338024-n
K236,http://wordnet-rdf.princeton.edu/wn31/300675491-a
K239,http://wordnet-rdf.princeton.edu/wn31/105675795-n
K264,http://wordnet-rdf.princeton.edu/wn31/114259275-n
K265,http://wordnet-rdf.princeton.edu/wn31/101215372-n
K265,http://wordnet-rdf.princeton.edu/wn31/104942705-n
K265,http://wordnet-rdf.princeton.edu/wn31/105591658-n
K265,http://wordnet-rdf.princeton.edu/wn31/114229706-n
K268,http://wordnet-rdf.princeton.edu/wn31/300747753-a
K273,http://wordnet-rdf.princeton.edu/wn31/108194510-n
K277,http://wordnet-rdf.princeton.edu/wn31/110621527-n
K293,http://wordnet-rdf.princeton.edu/wn31/100520389-n
K293,http://wordnet-rdf.princeton.edu/wn31/101120503-n
K293,http://wordnet-rdf.princeton.edu/wn31/108425224-n
K293,http://wordnet-rdf.princeton.edu/wn31/108425514-n
K293,http://wordnet-rdf.princeton.edu/wn31/201297381-v
K293,http://wordnet-rdf.princeton.edu/wn31/300220032-s
K293,http://wordnet-rdf.princeton.edu/wn31/300244911-s
K293,http://wordnet-rdf.princeton.edu/wn31/300463124-s
K293,http://wordnet-rdf.princeton.edu/wn31/300958816-a
K293,http://wordnet-rdf.princeton.edu/wn31/300959321-a
K293,http://wordnet-rdf.princeton.edu/wn31/300961341-a
K293,http://wordnet-rdf.princeton.edu/wn31/300961664-s
K293,http://wordnet-rdf.princeton.edu/wn31/301407924-s
K293,http://wordnet-rdf.princeton.edu/wn31/301487649-s
K293,http://wordnet-rdf.princeton.edu/wn31/301536380-s
K293,http://wordnet-rdf.princeton.edu/wn31/301553236-s
K293,http://wordnet-rdf.princeton.edu/wn31/301677616-s
K293,http://wordnet-rdf.princeton.edu/wn31/302043985-a
K297,http://wordnet-rdf.princeton.edu/wn31/110161580-n
K299,http://wordnet-rdf.princeton.edu/wn31/300995483-s
K300,http://wordnet-rdf.princeton.edu/wn31/105006906-n
K306,http://wordnet-rdf.princeton.edu/wn31/102682642-n
K306,http://wordnet-rdf.princeton.edu/wn31/300048349-a
K306,http://wordnet-rdf.princeton.edu/wn31/301420302-a
K314,http://wordnet-rdf.princeton.edu/wn31/100696119-n
K314,http://wordnet-rdf.princeton.edu/wn31/100696243-n
K314,http://wordnet-rdf.princeton.edu/wn31/101127115-n
K314,http://wordnet-rdf.princeton.edu/wn31/101138273-n
K314,http://wordnet-rdf.princeton.edu/wn31/108181484-n
K314,http://wordnet-rdf.princeton.edu/wn31/115291076-n
K314,http://wordnet-rdf.princeton.edu/wn31/202436818-v
K320,http://wordnet-rdf.princeton.edu/wn31/109789895-n
K320,http://wordnet-rdf.princeton.edu/wn31/109790166-n
K320,http://wordnet-rdf.princeton.edu/wn31/109790372-n
K326,http://wordnet-rdf.princeton.edu/wn31/107876781-n
K326,http://wordnet-rdf.princeton.edu/wn31/107876964-n
K326,http://wordnet-rdf.princeton.edu/wn31/109863364-n
K326,http://wordnet-rdf.princeton.edu/wn31/113406389-n
K326,http://wordnet-rdf.princeton.edu/wn31/200547689-v
K326,http://wordnet-rdf.princeton.edu/wn31/201420070-v
K326,http://wordnet-rdf.princeton.edu/wn31/201420359-v
K327,http://wordnet-rdf.princeton.edu/wn31/100085191-n
K327,http://wordnet-rdf.princeton.edu/wn31/100181262-n
K327,http://wordnet-rdf.princeton.edu/wn31/101187782-n
K331,http://wordnet-rdf.princeton.edu/wn31/105338719-n
K332,http://wordnet-rdf.princeton.edu/wn31/105415731-n
K332,http://wordnet-rdf.princeton.edu/wn31/105415731-n
K333,http://wordnet-rdf.princeton.edu/wn31/102684892-n
K335,http://wordnet-rdf.princeton.edu/wn31/114622705-n
K335,http://wordnet-rdf.princeton.edu/wn31/300008225-a
K336,http://wordnet-rdf.princeton.edu/wn31/113448962-n
