ID,Translation-Indonesia
B1224,K26818
B1225,K11429
B1226,K4800
B1226,K65686
B1235,K67472
B1235,K44905
B1237,K34011
B1238,K46083
B1242,K61580
B1242,K4872
B1245,K22541
B1245,K33963
B1250,K4925
B1252,K31814
B1254,K71529
B1254,K46272
B1257,K9669
B1257,K67046
B1257,K40475
B1257,K37834
B1260,K10141
B1260,K34117
B1260,K10307
B1261,K29028
B1261,K24778
B1264,K9975
B1267,K4979
B1267,K10284
B1267,K49560
B1269,K33241
B1269,K9788
B1272,K5021
B1273,K59466
B1273,K59628
B1273,K31416
B1273,K10307
B1273,K10141
B1278,K57465
B1282,K33603
B1282,K5095
B1284,K20590
B1284,K62362
B1285,K5125
B1287,K35782
B1287,K67300
B1288,K23784
B1288,K2311
B1288,K22940
B1290,K9550
B1291,K67345
B1295,K11063
B1295,K54554
B1297,K32546
B1298,K10324
B1301,K54121
B1303,K55479
B1303,K48854
B1303,K70080
B1303,K2668
B1303,K3122
B1303,K4519
B1307,K5202
B1308,K23173
B1308,K61086
B1310,K27217
B1310,K5240
B1312,K60961
B1312,K49172
B1317,K66417
B1320,K19699
B1320,K27428
B1320,K65404
B1321,K67886
B1322,K48410
B1322,K50413
B1323,K42890
B1323,K9534
B1328,K19270
B1331,K5310
B1341,K14211
B1341,K69049
B1343,K5355
B1343,K9753
B1343,K10872
B1344,K4332
B1351,K66929
B1353,K22769
B1353,K10444
B1354,K46503
B1354,K60280
B1356,K52990
B1358,K17970
B1358,K65387
B1361,K56692
B1366,K11816
B1366,K30200
B1367,K53613
B1375,K5675
B1375,K10554
B1377,K12334
B1378,K5731
B1381,K11296
B1382,K14414
B1382,K60443
B1382,K60330
B1386,K5624
B1387,K4925
B1388,K4012
B1390,K30205
B1391,K47588
B1393,K52918
B1395,K71657
B1397,K34011
B1399,K5513
B1399,K67574
B1399,K4470
B1403,K65376
B1403,K22808
B1403,K65376
B1405,K3989
B1406,K1512
B1410,K56955
B1410,K24111
B1410,K53425
B1411,K21874
B1429,K66417
B1432,K9550
B1434,K9579
B1436,K10169
B1436,K5310
B1444,K1512
B1447,K65404
B1447,K66215
B1447,K25851
B1448,K61572
B1449,K61572
B1451,K4902
