ID,Translation-Indonesia
100073293-n,http://idword-rdf.com/K11514
100073511-n,http://idword-rdf.com/K61962
100073628-n,http://idword-rdf.com/K59235
100073628-n,http://idword-rdf.com/K27964
100073852-n,http://idword-rdf.com/K10933
100073997-n,http://idword-rdf.com/K50601
100074533-n,http://idword-rdf.com/K14600
100074648-n,http://idword-rdf.com/K67561
100075344-n,http://idword-rdf.com/K26003
100075344-n,http://idword-rdf.com/K60742
100075444-n,http://idword-rdf.com/K35619
100075444-n,http://idword-rdf.com/K26003
100075610-n,http://idword-rdf.com/K40787
100075610-n,http://idword-rdf.com/K45209
100075610-n,http://idword-rdf.com/K25886
100076103-n,http://idword-rdf.com/K61306
100076291-n,http://idword-rdf.com/K69406
100076438-n,http://idword-rdf.com/K5645
100076610-n,http://idword-rdf.com/K4243
100076732-n,http://idword-rdf.com/K35589
100076892-n,http://idword-rdf.com/K10882
100077016-n,http://idword-rdf.com/K25767
100077016-n,http://idword-rdf.com/K25384
100077016-n,http://idword-rdf.com/K67561
100077383-n,http://idword-rdf.com/K53947
100077383-n,http://idword-rdf.com/K27829
100077383-n,http://idword-rdf.com/K68379
100077704-n,http://idword-rdf.com/K69990
100077704-n,http://idword-rdf.com/K22454
100078069-n,http://idword-rdf.com/K37951
100078239-n,http://idword-rdf.com/K54174
100078676-n,http://idword-rdf.com/K50661
100078676-n,http://idword-rdf.com/K54174
100078801-n,http://idword-rdf.com/K29650
100078801-n,http://idword-rdf.com/K51007
100079037-n,http://idword-rdf.com/K42471
100079356-n,http://idword-rdf.com/K1815
100079838-n,http://idword-rdf.com/K36524
100080032-n,http://idword-rdf.com/K51437
100080218-n,http://idword-rdf.com/K53637
100081062-n,http://idword-rdf.com/K49592
100081563-n,http://idword-rdf.com/K48843
100081788-n,http://idword-rdf.com/K65912
100081994-n,http://idword-rdf.com/K39932
100082392-n,http://idword-rdf.com/K50464
100082901-n,http://idword-rdf.com/K50284
100083345-n,http://idword-rdf.com/K51520
100083574-n,http://idword-rdf.com/K39791
100083574-n,http://idword-rdf.com/K64126
100084268-n,http://idword-rdf.com/K55738
100084405-n,http://idword-rdf.com/K71652
100084549-n,http://idword-rdf.com/K51569
100084549-n,http://idword-rdf.com/K50464
100084795-n,http://idword-rdf.com/K50497
100085191-n,http://idword-rdf.com/K50778
100085191-n,http://idword-rdf.com/K327
100085462-n,http://idword-rdf.com/K46955
100085715-n,http://idword-rdf.com/K52921
100086039-n,http://idword-rdf.com/K53209
100086498-n,http://idword-rdf.com/K53209
100086649-n,http://idword-rdf.com/K28050
100086960-n,http://idword-rdf.com/K53415
100087117-n,http://idword-rdf.com/K44189
100087117-n,http://idword-rdf.com/K51755
100087474-n,http://idword-rdf.com/K40698
100087629-n,http://idword-rdf.com/K51413
100087629-n,http://idword-rdf.com/K20480
100087629-n,http://idword-rdf.com/K34657
100087893-n,http://idword-rdf.com/K25127
100088038-n,http://idword-rdf.com/K53111
100088243-n,http://idword-rdf.com/K63993
100088243-n,http://idword-rdf.com/K19868
100088483-n,http://idword-rdf.com/K41374
100088483-n,http://idword-rdf.com/K50497
100088669-n,http://idword-rdf.com/K25337
100089301-n,http://idword-rdf.com/K53209
100089301-n,http://idword-rdf.com/K38223
100089545-n,http://idword-rdf.com/K51007
100089545-n,http://idword-rdf.com/K38223
100089545-n,http://idword-rdf.com/K38826
100089545-n,http://idword-rdf.com/K27250
100089847-n,http://idword-rdf.com/K50940
100089847-n,http://idword-rdf.com/K38074
100090054-n,http://idword-rdf.com/K53593
100090171-n,http://idword-rdf.com/K26593
100090171-n,http://idword-rdf.com/K58051
100090171-n,http://idword-rdf.com/K58053
100090896-n,http://idword-rdf.com/K53209
100091073-n,http://idword-rdf.com/K51520
100091213-n,http://idword-rdf.com/K22295
100091430-n,http://idword-rdf.com/K63196
100091599-n,http://idword-rdf.com/K36613
100092054-n,http://idword-rdf.com/K36782
100092224-n,http://idword-rdf.com/K50660
100092323-n,http://idword-rdf.com/K36782
100093186-n,http://idword-rdf.com/K56933
100093186-n,http://idword-rdf.com/K32003
100094174-n,http://idword-rdf.com/K57648
100094303-n,http://idword-rdf.com/K43646
100094303-n,http://idword-rdf.com/K52176
100094303-n,http://idword-rdf.com/K50432
100094303-n,http://idword-rdf.com/K52287
100094821-n,http://idword-rdf.com/K51437
100094821-n,http://idword-rdf.com/K27894
100095060-n,http://idword-rdf.com/K51656
100095608-n,http://idword-rdf.com/K25987
100095774-n,http://idword-rdf.com/K13017
100095941-n,http://idword-rdf.com/K53641
100096149-n,http://idword-rdf.com/K57925
100096149-n,http://idword-rdf.com/K39279
100096322-n,http://idword-rdf.com/K35549
100096322-n,http://idword-rdf.com/K36458
100096322-n,http://idword-rdf.com/K50432
100096791-n,http://idword-rdf.com/K57648
100096791-n,http://idword-rdf.com/K57532
100097031-n,http://idword-rdf.com/K43646
100097163-n,http://idword-rdf.com/K43646
100097333-n,http://idword-rdf.com/K27894
100097671-n,http://idword-rdf.com/K66180
100098064-n,http://idword-rdf.com/K14643
100098168-n,http://idword-rdf.com/K21495
100098324-n,http://idword-rdf.com/K15353
100098324-n,http://idword-rdf.com/K28717
100098324-n,http://idword-rdf.com/K35137
100099205-n,http://idword-rdf.com/K35079
100099205-n,http://idword-rdf.com/K35075
100099445-n,http://idword-rdf.com/K31738
100099759-n,http://idword-rdf.com/K64660
100100619-n,http://idword-rdf.com/K44297
100100771-n,http://idword-rdf.com/K52590
100100771-n,http://idword-rdf.com/K42521
100100771-n,http://idword-rdf.com/K62728
100100771-n,http://idword-rdf.com/K21064
100101363-n,http://idword-rdf.com/K21592
100101709-n,http://idword-rdf.com/K57586
100101823-n,http://idword-rdf.com/K8367
100102011-n,http://idword-rdf.com/K7851
100102230-n,http://idword-rdf.com/K36901
100102528-n,http://idword-rdf.com/K54212
100102629-n,http://idword-rdf.com/K19794
100102982-n,http://idword-rdf.com/K69559
100103277-n,http://idword-rdf.com/K48240
100103277-n,http://idword-rdf.com/K35078
100103599-n,http://idword-rdf.com/K29357
100103747-n,http://idword-rdf.com/K46158
100103960-n,http://idword-rdf.com/K50126
100103960-n,http://idword-rdf.com/K35849
100104111-n,http://idword-rdf.com/K50126
100104410-n,http://idword-rdf.com/K66623
100104410-n,http://idword-rdf.com/K31862
100104654-n,http://idword-rdf.com/K14812
100104654-n,http://idword-rdf.com/K52071
100104654-n,http://idword-rdf.com/K39206
100105069-n,http://idword-rdf.com/K14812
100105069-n,http://idword-rdf.com/K21159
100105229-n,http://idword-rdf.com/K18962
100105229-n,http://idword-rdf.com/K34290
100105359-n,http://idword-rdf.com/K35484
100105984-n,http://idword-rdf.com/K35484
100106091-n,http://idword-rdf.com/K39936
100106091-n,http://idword-rdf.com/K67505
100106299-n,http://idword-rdf.com/K35484
100106640-n,http://idword-rdf.com/K33317
100106640-n,http://idword-rdf.com/K36281
100106640-n,http://idword-rdf.com/K35484
100106924-n,http://idword-rdf.com/K46669
100107092-n,http://idword-rdf.com/K52287
100107092-n,http://idword-rdf.com/K46669
100107708-n,http://idword-rdf.com/K50204
100108099-n,http://idword-rdf.com/K40787
100108220-n,http://idword-rdf.com/K10284
100108504-n,http://idword-rdf.com/K54496
100108695-n,http://idword-rdf.com/K53217
100108695-n,http://idword-rdf.com/K35516
100109001-n,http://idword-rdf.com/K48676
100109001-n,http://idword-rdf.com/K50212
100109001-n,http://idword-rdf.com/K45072
100109001-n,http://idword-rdf.com/K50135
100109785-n,http://idword-rdf.com/K14774
100110234-n,http://idword-rdf.com/K43908
100112178-n,http://idword-rdf.com/K41544
100113132-n,http://idword-rdf.com/K39206
100113132-n,http://idword-rdf.com/K14811
100113494-n,http://idword-rdf.com/K13878
100113648-n,http://idword-rdf.com/K28907
100113817-n,http://idword-rdf.com/K14812
100113817-n,http://idword-rdf.com/K23029
100113933-n,http://idword-rdf.com/K39113
100113933-n,http://idword-rdf.com/K66268
100113933-n,http://idword-rdf.com/K66269
100114352-n,http://idword-rdf.com/K27844
100114546-n,http://idword-rdf.com/K39206
100114915-n,http://idword-rdf.com/K6340
100115118-n,http://idword-rdf.com/K44087
100115251-n,http://idword-rdf.com/K38289
100115251-n,http://idword-rdf.com/K65883
100115691-n,http://idword-rdf.com/K43939
100115856-n,http://idword-rdf.com/K51693
100115856-n,http://idword-rdf.com/K62108
100115856-n,http://idword-rdf.com/K39952
100116112-n,http://idword-rdf.com/K53120
100116112-n,http://idword-rdf.com/K43939
100116320-n,http://idword-rdf.com/K43858
100116320-n,http://idword-rdf.com/K65891
100116487-n,http://idword-rdf.com/K17049
100116487-n,http://idword-rdf.com/K29505
100116623-n,http://idword-rdf.com/K50891
100116623-n,http://idword-rdf.com/K50809
100116828-n,http://idword-rdf.com/K37181
100116942-n,http://idword-rdf.com/K13376
100117196-n,http://idword-rdf.com/K39936
100117196-n,http://idword-rdf.com/K38046
100117507-n,http://idword-rdf.com/K53070
100117507-n,http://idword-rdf.com/K52530
100117507-n,http://idword-rdf.com/K56215
100118398-n,http://idword-rdf.com/K61401
100118398-n,http://idword-rdf.com/K32520
100118779-n,http://idword-rdf.com/K40259
100118779-n,http://idword-rdf.com/K7232
100119088-n,http://idword-rdf.com/K44163
100119265-n,http://idword-rdf.com/K4698
100119372-n,http://idword-rdf.com/K35807
100119553-n,http://idword-rdf.com/K46455
100119553-n,http://idword-rdf.com/K46459
100120388-n,http://idword-rdf.com/K35749
100120830-n,http://idword-rdf.com/K35749
100121022-n,http://idword-rdf.com/K67669
100121022-n,http://idword-rdf.com/K2792
100121022-n,http://idword-rdf.com/K35749
100121022-n,http://idword-rdf.com/K35168
100121022-n,http://idword-rdf.com/K33119
100121022-n,http://idword-rdf.com/K46572
100121335-n,http://idword-rdf.com/K30215
100121335-n,http://idword-rdf.com/K58274
100121467-n,http://idword-rdf.com/K35750
100121624-n,http://idword-rdf.com/K33009
100121763-n,http://idword-rdf.com/K8362
100121763-n,http://idword-rdf.com/K22774
100121986-n,http://idword-rdf.com/K52287
100122186-n,http://idword-rdf.com/K52287
100122186-n,http://idword-rdf.com/K69546
100122186-n,http://idword-rdf.com/K43059
100122724-n,http://idword-rdf.com/K58638
100122926-n,http://idword-rdf.com/K51656
100122926-n,http://idword-rdf.com/K39861
100123158-n,http://idword-rdf.com/K64443
100123350-n,http://idword-rdf.com/K6690
100123350-n,http://idword-rdf.com/K39206
100123481-n,http://idword-rdf.com/K51476
100123481-n,http://idword-rdf.com/K66623
100123774-n,http://idword-rdf.com/K39365
100124054-n,http://idword-rdf.com/K35549
100124054-n,http://idword-rdf.com/K51476
100124250-n,http://idword-rdf.com/K61579
100124603-n,http://idword-rdf.com/K66623
100124971-n,http://idword-rdf.com/K7451
100125437-n,http://idword-rdf.com/K66622
100125437-n,http://idword-rdf.com/K3860
100125700-n,http://idword-rdf.com/K29603
100125946-n,http://idword-rdf.com/K41431
100125946-n,http://idword-rdf.com/K41287
100126135-n,http://idword-rdf.com/K37874
100126256-n,http://idword-rdf.com/K27299
100126256-n,http://idword-rdf.com/K39468
100126256-n,http://idword-rdf.com/K12518
100126449-n,http://idword-rdf.com/K37874
100127056-n,http://idword-rdf.com/K41415
100127056-n,http://idword-rdf.com/K22454
100127267-n,http://idword-rdf.com/K69761
100127706-n,http://idword-rdf.com/K51007
100127971-n,http://idword-rdf.com/K1863
100128106-n,http://idword-rdf.com/K6951
100128106-n,http://idword-rdf.com/K33317
100128351-n,http://idword-rdf.com/K67255
100129144-n,http://idword-rdf.com/K68617
100129458-n,http://idword-rdf.com/K67265
100129687-n,http://idword-rdf.com/K31862
100129796-n,http://idword-rdf.com/K46426
100129909-n,http://idword-rdf.com/K18215
100130137-n,http://idword-rdf.com/K19732
100130137-n,http://idword-rdf.com/K37371
100130255-n,http://idword-rdf.com/K58394
100130563-n,http://idword-rdf.com/K35962
100131167-n,http://idword-rdf.com/K43908
100131332-n,http://idword-rdf.com/K4709
100131666-n,http://idword-rdf.com/K52387
100131910-n,http://idword-rdf.com/K25098
100132611-n,http://idword-rdf.com/K67661
100133039-n,http://idword-rdf.com/K37181
100133421-n,http://idword-rdf.com/K54685
100133421-n,http://idword-rdf.com/K70061
100134054-n,http://idword-rdf.com/K28925
100134158-n,http://idword-rdf.com/K39088
100134158-n,http://idword-rdf.com/K58922
100134158-n,http://idword-rdf.com/K28353
100134158-n,http://idword-rdf.com/K57262
100134488-n,http://idword-rdf.com/K37874
100134488-n,http://idword-rdf.com/K38135
100134488-n,http://idword-rdf.com/K12110
100134695-n,http://idword-rdf.com/K25433
100135292-n,http://idword-rdf.com/K65411
100135394-n,http://idword-rdf.com/K11495
100135394-n,http://idword-rdf.com/K10892
100135600-n,http://idword-rdf.com/K44203
100135600-n,http://idword-rdf.com/K63118
100135600-n,http://idword-rdf.com/K42515
100135600-n,http://idword-rdf.com/K51744
100135600-n,http://idword-rdf.com/K42807
100135600-n,http://idword-rdf.com/K56380
100135968-n,http://idword-rdf.com/K29923
100136131-n,http://idword-rdf.com/K40806
100136324-n,http://idword-rdf.com/K35345
100136324-n,http://idword-rdf.com/K38233
100136619-n,http://idword-rdf.com/K41544
100137149-n,http://idword-rdf.com/K66878
100137149-n,http://idword-rdf.com/K61719
100138354-n,http://idword-rdf.com/K66879
100138898-n,http://idword-rdf.com/K12475
100139041-n,http://idword-rdf.com/K12475
100139261-n,http://idword-rdf.com/K9143
100139419-n,http://idword-rdf.com/K37874
100139419-n,http://idword-rdf.com/K6135
100139554-n,http://idword-rdf.com/K25433
100139776-n,http://idword-rdf.com/K22774
100139776-n,http://idword-rdf.com/K38223
100139776-n,http://idword-rdf.com/K39790
100139776-n,http://idword-rdf.com/K44742
100140578-n,http://idword-rdf.com/K51007
100140739-n,http://idword-rdf.com/K51520
100140932-n,http://idword-rdf.com/K35168
100141213-n,http://idword-rdf.com/K22035
100141213-n,http://idword-rdf.com/K8169
100141472-n,http://idword-rdf.com/K34317
100141472-n,http://idword-rdf.com/K50991
100141847-n,http://idword-rdf.com/K45064
100141996-n,http://idword-rdf.com/K3014
100142216-n,http://idword-rdf.com/K63537
100142216-n,http://idword-rdf.com/K3076
100142489-n,http://idword-rdf.com/K38892
100142626-n,http://idword-rdf.com/K53862
100142626-n,http://idword-rdf.com/K37120
100143181-n,http://idword-rdf.com/K50691
100143181-n,http://idword-rdf.com/K35010
100143485-n,http://idword-rdf.com/K53560
100144071-n,http://idword-rdf.com/K41629
100144071-n,http://idword-rdf.com/K70639
100144705-n,http://idword-rdf.com/K56783
100145265-n,http://idword-rdf.com/K17812
100145265-n,http://idword-rdf.com/K41026
100145452-n,http://idword-rdf.com/K36496
100145452-n,http://idword-rdf.com/K56380
100145598-n,http://idword-rdf.com/K36496
100145844-n,http://idword-rdf.com/K38173
100146038-n,http://idword-rdf.com/K20298
100146038-n,http://idword-rdf.com/K6488
100146038-n,http://idword-rdf.com/K29416
100146599-n,http://idword-rdf.com/K37874
100146749-n,http://idword-rdf.com/K21565
100146931-n,http://idword-rdf.com/K54339
100147097-n,http://idword-rdf.com/K54026
100147097-n,http://idword-rdf.com/K39022
100147263-n,http://idword-rdf.com/K57172
100147392-n,http://idword-rdf.com/K29678
100147392-n,http://idword-rdf.com/K29679
100147676-n,http://idword-rdf.com/K54434
100147676-n,http://idword-rdf.com/K51984
100147911-n,http://idword-rdf.com/K54434
100148007-n,http://idword-rdf.com/K54434
100148134-n,http://idword-rdf.com/K2591
100148415-n,http://idword-rdf.com/K31197
100148415-n,http://idword-rdf.com/K51670
100148682-n,http://idword-rdf.com/K35767
100148877-n,http://idword-rdf.com/K51973
100149062-n,http://idword-rdf.com/K32663
100149473-n,http://idword-rdf.com/K20836
100149656-n,http://idword-rdf.com/K31305
100149798-n,http://idword-rdf.com/K28224
100149904-n,http://idword-rdf.com/K52238
100149904-n,http://idword-rdf.com/K41609
100150082-n,http://idword-rdf.com/K35549
100150082-n,http://idword-rdf.com/K25675
100150328-n,http://idword-rdf.com/K51865
100150917-n,http://idword-rdf.com/K63932
100151411-n,http://idword-rdf.com/K42807
100151411-n,http://idword-rdf.com/K56683
100151582-n,http://idword-rdf.com/K12691
100151582-n,http://idword-rdf.com/K45159
100151582-n,http://idword-rdf.com/K50126
100151752-n,http://idword-rdf.com/K39360
100151907-n,http://idword-rdf.com/K51007
100151907-n,http://idword-rdf.com/K14050
100151907-n,http://idword-rdf.com/K6028
100151907-n,http://idword-rdf.com/K63669
100152229-n,http://idword-rdf.com/K51531
100152317-n,http://idword-rdf.com/K51497
100152317-n,http://idword-rdf.com/K66838
100152838-n,http://idword-rdf.com/K52851
100152838-n,http://idword-rdf.com/K20654
100153158-n,http://idword-rdf.com/K62690
100153547-n,http://idword-rdf.com/K14160
100154485-n,http://idword-rdf.com/K56159
100154629-n,http://idword-rdf.com/K50628
100154629-n,http://idword-rdf.com/K58034
100154781-n,http://idword-rdf.com/K10750
100155053-n,http://idword-rdf.com/K62214
100155253-n,http://idword-rdf.com/K39229
100155253-n,http://idword-rdf.com/K14717
100156118-n,http://idword-rdf.com/K50372
100156118-n,http://idword-rdf.com/K50197
100156118-n,http://idword-rdf.com/K35990
100156118-n,http://idword-rdf.com/K59600
100156307-n,http://idword-rdf.com/K37419
100156307-n,http://idword-rdf.com/K33065
100156307-n,http://idword-rdf.com/K38504
